date,lat,lon,HCHO,NO2,CO,aerosol_index,temp,RH,wind_speed
2023-10-27,6.0,68.0,3.313252885910937e-05,3.599091370533659e-05,0.022857703321186577,0.3139362799031758,33.4,50.3,2.8
2023-10-27,6.0,68.5,4.385644110434796e-05,3.725378462832e-05,0.015346317196511352,0.40513948846124614,32.3,48.1,2.8
2023-10-27,6.0,69.0,3.808333920814683e-05,3.8529280614094946e-05,0.02274317143320009,0.3433350156642609,33.5,59.6,2.3
2023-10-27,6.0,69.5,4.0125314758662574e-05,3.828539565855905e-05,0.01581446814399973,0.28192993582091874,34.3,57.1,2.3
2023-10-27,6.0,70.0,4.128836278092102e-05,3.841385229754681e-05,0.018976041810209968,0.3684074700518233,34.0,50.6,3.1
2023-10-27,6.0,70.5,4.1555558786092685e-05,4.0472329131625235e-05,0.020752597073764756,0.32952935096227604,35.0,64.7,3.0
2023-10-27,6.0,71.0,3.741848271771234e-05,4.221600552309446e-05,0.01823454784468783,0.3837732813110305,32.3,59.0,2.8
2023-10-27,6.0,71.5,3.969269498000351e-05,4.163341682714632e-05,0.022406869148124113,0.4615247040068556,32.9,56.8,2.8
2023-10-27,6.0,72.0,3.677936417171464e-05,4.039746138775988e-05,0.016611124861161418,0.2934289059229036,34.8,68.0,3.5
2023-10-27,6.0,72.5,4.91151913956556e-05,4.415736395916524e-05,0.023638162571575277,0.3081183116214735,33.5,51.3,3.0
2023-10-27,6.0,73.0,3.2424070978616485e-05,4.033793096886822e-05,0.016031347778351482,0.18458585843630226,31.1,56.6,2.9
2023-10-27,6.0,73.5,4.674170604939926e-05,3.937944099853247e-05,0.018931557410262794,0.13122657325356166,34.5,55.5,2.5
2023-10-27,6.0,74.0,3.867475571983363e-05,3.605162142700621e-05,0.022725693183121155,0.48975024470071005,33.0,56.0,3.4
2023-10-27,6.0,74.5,4.7628662398817396e-05,3.9841113667189234e-05,0.019375399152943833,0.3856705141150987,32.2,47.8,2.4
2023-10-27,6.0,75.0,3.7172117150482304e-05,4.3062469302730976e-05,0.022333020632508135,0.005319681921806818,33.2,44.4,2.2
2023-10-27,6.0,75.5,3.546530910995593e-05,3.56134263066938e-05,0.020990632267407102,0.27148402734720356,34.0,41.8,2.2
2023-10-27,6.0,76.0,3.9635786634290606e-05,3.883702162987606e-05,0.02153869278269735,0.22076200995405543,32.8,56.2,2.5
2023-10-27,6.0,76.5,3.163278582893784e-05,3.553098522257792e-05,0.02103388879405632,0.5198874801203675,32.4,52.2,2.6
2023-10-27,6.0,77.0,3.50712636539117e-05,3.570901749827741e-05,0.017189896833745413,0.3391186268066032,35.0,51.9,2.4
2023-10-27,6.0,77.5,4.1869953798932706e-05,4.123733446800441e-05,0.02412251887409927,0.3044668501670684,34.4,40.0,2.5
2023-10-27,6.0,78.0,3.7744089757863736e-05,3.8016540288341325e-05,0.024428417281217914,0.4226834877675023,34.0,41.1,3.2
2023-10-27,6.0,78.5,3.7752546734702474e-05,3.845976328592119e-05,0.018618533812695508,0.39103764108562855,34.5,50.1,3.3
2023-10-27,6.0,79.0,4.494922372404404e-05,3.6710581249854426e-05,0.020562394934886576,0.2445954007588677,32.8,48.6,3.4
2023-10-27,6.0,79.5,3.1034214540875206e-05,3.8441360795277586e-05,0.022623924513038293,0.748727677604957,32.6,38.8,2.2
2023-10-27,6.0,80.0,3.447503039805856e-05,3.7213433440067215e-05,0.023107253526251634,0.25380230146494,35.1,53.1,2.5
2023-10-27,6.0,80.5,3.675796590573151e-05,4.479349108218703e-05,0.021543183943248986,0.3204407194616979,34.2,55.2,2.6
2023-10-27,6.0,81.0,3.8445758875205116e-05,4.012555810508121e-05,0.021482200886241136,0.34958820185686595,33.2,67.8,3.7
2023-10-27,6.0,81.5,4.853123938960554e-05,4.1654059183250265e-05,0.018554464226885812,0.26554082215357494,33.4,58.7,2.6
2023-10-27,6.0,82.0,3.2016347605985066e-05,4.420572964786293e-05,0.020619555516214264,0.4156078509871149,33.9,59.4,2.6
2023-10-27,6.0,82.5,3.959559430947188e-05,4.3445815785108785e-05,0.022792150344161672,0.34013752404745806,34.5,69.0,3.2
2023-10-27,6.0,83.0,4.188371557152421e-05,4.110829737683914e-05,0.020986861410253556,0.25984372532277594,32.3,60.7,3.6
2023-10-27,6.0,83.5,4.349865707990751e-05,4.2561071866427944e-05,0.01665653415589892,0.45272997924100433,31.4,63.0,2.2
2023-10-27,6.0,84.0,5.041550888927717e-05,3.72019757180918e-05,0.022289045933277372,0.3926288107320808,33.8,67.0,2.8
2023-10-27,6.0,84.5,5.0450446035719643e-05,4.3362940800339464e-05,0.02458839521854791,0.308605117235025,33.1,62.4,2.2
2023-10-27,6.0,85.0,4.5697553777652945e-05,4.028043874566214e-05,0.02338719324428457,0.38039776749748894,32.4,52.5,2.5
2023-10-27,6.0,85.5,4.123481074261526e-05,4.0963664084878336e-05,0.024231277860243556,0.23823352523950878,32.9,59.7,2.1
2023-10-27,6.0,86.0,4.922205754569162e-05,3.6924538971071496e-05,0.024855400455861557,0.38896304011881505,34.5,54.2,2.8
2023-10-27,6.0,86.5,4.364978950835639e-05,3.512132926029056e-05,0.02150272114438631,0.31534933507016993,34.2,54.6,2.2
2023-10-27,6.0,87.0,4.322865815173214e-05,3.6419012296047425e-05,0.016687171256850895,0.2542575806496084,33.9,54.2,2.5
2023-10-27,6.0,87.5,4.579047347774017e-05,3.656689866512157e-05,0.023670590747150645,0.35461356798577903,33.9,48.6,2.6
2023-10-27,6.0,88.0,4.580523603260568e-05,4.360716951544707e-05,0.015667483831487444,0.34702872343339425,34.6,38.1,3.7
2023-10-27,6.0,88.5,4.73127522900773e-05,3.713174935503524e-05,0.0238978437799503,0.49695434384546244,33.0,41.1,3.2
2023-10-27,6.0,89.0,4.595793215279262e-05,3.7725942331305207e-05,0.017706074053568638,0.15784967649846424,34.1,34.6,2.4
2023-10-27,6.0,89.5,3.716509657180343e-05,3.599675945997221e-05,0.02367248586158568,0.5577422367620493,34.3,30.6,2.7
2023-10-27,6.0,90.0,3.9425100669396894e-05,3.635378288753375e-05,0.019389417397650956,0.16574334653783365,33.4,36.7,2.6
2023-10-27,6.0,90.5,3.0563782586365115e-05,4.3115484618291504e-05,0.020338221040540793,0.3312838917513344,34.0,34.9,2.7
2023-10-27,6.0,91.0,4.595817561059607e-05,3.94856934341505e-05,0.018040672623497588,0.19703913771252518,33.2,27.9,3.7
2023-10-27,6.0,91.5,3.9869819261076365e-05,4.301878636206371e-05,0.018071466941251488,0.2252427673116087,34.3,26.8,2.7
2023-10-27,6.0,92.0,3.203534033138582e-05,3.502424074830886e-05,0.01870634207343839,0.2578645345414602,32.9,18.1,2.4
2023-10-27,6.0,92.5,3.2288798661242175e-05,4.3314716300418616e-05,0.01875956912738236,0.3151612404246047,32.8,23.0,2.8
2023-10-27,6.0,93.0,3.454956490810879e-05,3.612027390040585e-05,0.02220151332175091,0.45042689924094087,34.3,17.7,2.1
2023-10-27,6.0,93.5,4.258796699700077e-05,4.282864572147801e-05,0.023449769237524485,0.23526591703217123,33.3,17.2,2.7
2023-10-27,6.0,94.0,3.591642354299388e-05,3.5657290196389286e-05,0.02194971219604089,0.5416028561105238,32.8,15.0,3.1
2023-10-27,6.0,94.5,4.709393610519902e-05,4.4303593077543435e-05,0.0193105487630646,0.5467718506384756,32.8,15.3,2.6
2023-10-27,6.0,95.0,3.965304886487873e-05,3.517292206464589e-05,0.01781194521214218,0.4182934408480599,34.0,15.0,2.1
2023-10-27,6.0,95.5,3.0533017681643944e-05,4.355409158808317e-05,0.019959320121680998,0.4476527509205009,34.4,15.0,2.2
2023-10-27,6.0,96.0,4.175892181602222e-05,4.206481551498175e-05,0.016284417585034912,0.29511946693961344,33.9,15.0,2.3
2023-10-27,6.0,96.5,3.2120548921516054e-05,4.180468182739931e-05,0.020681806039508345,0.20221002763093343,33.3,15.0,3.1
2023-10-27,6.0,97.0,4.607589833793067e-05,3.63892869115962e-05,0.017863470466385336,0.3548947619529029,34.0,15.0,2.4
2023-10-27,6.0,97.5,3.879685202436492e-05,4.4051059005147565e-05,0.023955222864841395,0.3318556799212864,33.3,15.0,3.1
2023-10-27,6.0,98.0,3.443390698126142e-05,3.630566161091086e-05,0.01752177879180859,0.10470936563247424,32.7,15.0,2.6
2023-10-27,6.5,68.0,4.1188033354645495e-05,3.594823318680792e-05,0.02312036260649224,0.5001284890141388,34.0,49.5,2.5
