date,lat,lon,HCHO,NO2,CO,aerosol_index,temp,RH,wind_speed
2023-10-08,6.0,68.0,7.803328330750699e-05,3.8132068460026764e-05,0.020816672625205358,0.30798837768537585,33.5,50.1,2.5
2023-10-08,6.0,68.5,7.753619208198743e-05,4.079849307974102e-05,0.02157796420981693,0.4457741100740411,33.2,48.2,2.6
2023-10-08,6.0,69.0,8.685019077632746e-05,4.0815126564921624e-05,0.021527601664875717,0.15777185327991758,34.9,61.3,2.2
2023-10-08,6.0,69.5,7.76928353244888e-05,3.945613675041202e-05,0.01847687975962123,0.111392834152611,33.3,54.6,2.3
2023-10-08,6.0,70.0,9.398893185414201e-05,4.328425769131171e-05,0.021631557339076735,0.37853977013084583,34.9,64.0,2.3
2023-10-08,6.0,70.5,7.97061038103877e-05,4.4964143706582324e-05,0.01842648915566154,0.12464011411632431,33.1,60.4,2.6
2023-10-08,6.0,71.0,9.446807902180801e-05,3.803379625841227e-05,0.01752713318859415,0.3692960993586877,32.6,61.9,2.5
2023-10-08,6.0,71.5,8.115695646362409e-05,3.9613646112105667e-05,0.02062853547503446,0.2991242694936501,34.0,60.1,2.7
2023-10-08,6.0,72.0,9.68025645861023e-05,4.3916696208926174e-05,0.017637170210678742,0.1893152571694336,34.2,65.8,2.2
2023-10-08,6.0,72.5,8.079547118146181e-05,4.418897637813025e-05,0.016347143614368786,0.25138405796938385,33.8,69.8,2.2
2023-10-08,6.0,73.0,8.797412469134725e-05,3.804520498835668e-05,0.01946360546563062,0.4935718596583325,34.4,53.5,3.0
2023-10-08,6.0,73.5,8.582723984986962e-05,4.457066160792028e-05,0.01908894291051493,0.09208932110792312,34.7,62.0,2.7
2023-10-08,6.0,74.0,8.258284455135556e-05,4.389969017733681e-05,0.01694292575297175,0.3797274303438909,32.6,53.8,2.1
2023-10-08,6.0,74.5,8.039732426307049e-05,4.204680550255867e-05,0.024162176450056846,0.025013674079314374,31.8,59.5,2.5
2023-10-08,6.0,75.0,9.473564930241528e-05,3.529250953288499e-05,0.015954806106221908,0.42115116002644826,34.2,45.0,2.2
